Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Product_Count,Total_Financial_Value,Customer_Value,Recency_Years,Frequency,Monetary,Tenure,Debt_Income_Ratio,Credit_Utilization,Predicted_Customer_Value,Predicted_Value_Segment
IND76263,Amy Martinez,55,40459,,Adam Hernandez,European,Administrative Officer,High,Jade,74966.51,16928.73,1,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3,1,3,1,11,7,704436.12,779402.63,15.305479452054794,7,74966.51,15.0,2.8589427606705895,246.66,726870.3593828529,Low Value
IND56452,David Johnston,73,25563,2005-12-09,Chris Armstrong,American,Database Administrator II,Mid,Jade,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,3,2,12,7,2382676.29,2494125.35,20.473972602739725,7,111449.06,21.0,5.208328375956011,130.86333333333332,2446920.267626807,Medium Value
IND28766,Wayne Foster,45,35687,,Joshua Ryan,African,Staff Scientist,Low,Silver,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,3,2,13,7,2768237.85,2883875.04,15.305479452054794,7,115637.19,15.0,7.050012111050856,2527.655,2993971.2796795587,High Value
IND17897,Carlos Moore,44,19554,1996-02-01,Paul Larson,American,Programmer I,High,Jade,124434.78,26146.0,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,3,2,14,7,3155977.2199999997,3280411.9999999995,30.334246575342465,7,124434.78,30.0,7.9140621772933795,1737.1233333333332,3265368.632473158,High Value
IND86325,Lisa Johnston,36,33368,2020-05-06,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,3,1,15,7,1759281.06,2020076.4000000001,6.057534246575343,7,260795.34,6.0,1.1920283083727325,1433.17,2006219.7799586076,Medium Value
IND74197,Andrew Mills,55,27913,2021-06-01,Shawn Wallace,European,Actuary,Mid,Silver,78892.52,32369.71,1,4882.13,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3,2,3,1,16,7,4370191.62,4449084.14,4.986301369863014,7,78892.52,5.0,19.150630368628498,2441.065,4689706.154810626,VIP
IND28503,Jack Coleman,61,9505,,Ernest Rivera,Asian,Staff Accountant II,High,Silver,257120.22,16263.99,1,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1,3,4,2,17,7,5635013.46,5892133.68,15.305479452054794,7,257120.22,15.0,1.69954249594802,4307.03,6002223.26317455,VIP
IND56539,Aaron Day,56,36232,,Gregory Simmons,Asian,Assistant Media Planner,Low,Jade,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,4,2,18,7,742146.97,887851.52,15.305479452054794,7,145704.55,15.0,2.6365047179053924,947.53,942326.8553217752,Low Value
IND53604,Kevin Weaver,43,6299,,Frank Brown,American,Staff Accountant I,Low,Jade,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,3,2,19,7,2590522.2699999996,2624926.4299999997,15.305479452054794,7,34404.16,15.0,32.05438254029337,1794.8999999999999,2711175.921789165,High Value
IND32064,Mary Fox,63,7694,2009-09-03,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,1,2,20,7,4522455.99,4651516.87,16.736986301369864,7,129060.88,17.0,7.751392742768042,197.79,4669367.81531781,VIP
IND72934,Carlos Little,41,38321,2020-03-04,Jonathan Hawkins,American,Geologist I,Low,Jade,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,2,1,21,7,924574.56,1054555.87,6.23013698630137,7,129981.31,6.0,2.876135144851634,794.62,1067459.0607360972,Low Value
IND16101,Roger Boyd,58,12772,,Adam Hernandez,European,Web Designer II,High,Jade,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,3,2,22,7,3605286.99,3728832.41,15.305479452054794,7,123545.42,15.0,11.336816720387366,1394.72,3747139.986919162,High Value
IND93121,Aaron Marshall,26,28661,,Ernest Rivera,American,Media Manager IV,Mid,Jade,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,4,2,1,7,1216837.88,1525020.8099999998,15.305479452054794,7,308182.93,15.0,2.106962034003525,2229.305,1512959.0080491994,Low Value
IND93310,Cheryl Stewart,21,8767,,Victor Martinez,European,Accounting Assistant II,High,Gold,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,1,1,2,7,4051868.85,4174448.2600000002,15.305479452054794,7,122579.41,15.0,7.856210955731018,2479.68,4051204.6063371236,VIP
IND71301,Anne Nguyen,41,14954,,Joshua Ryan,American,Programmer II,High,Jade,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,1,2,3,7,1190717.92,1221659.99,15.305479452054794,7,30942.07,15.0,8.93682398029672,1669.32,1256389.491026792,Low Value
IND21279,Christopher Evans,36,24058,,Adam Hernandez,European,Administrative Assistant IV,High,Jade,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,1,2,4,7,1283990.07,1334641.6300000001,15.305479452054794,7,50651.56,15.0,5.48977919378606,127.3025,1369152.406307208,Low Value
IND98618,Maria Clark,34,8623,,Joe Hanson,Asian,Help Desk Operator,High,Silver,502309.08,69381.0,2,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,2,1,8,7,7159068.610000001,7661377.690000001,15.305479452054794,7,502309.08,15.0,2.9263064559644114,3546.4366666666665,7454946.596923288,VIP
IND35589,Jimmy Simpson,52,38270,2018-08-01,George Lewis,European,Geological Engineer,High,Jade,87019.73,11316.5,2,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1,1,2,2,9,7,1399808.63,1486828.3599999999,7.821917808219178,7,87019.73,8.0,3.148037944521955,417.8933333333334,1492402.6066163525,Low Value
IND40198,Louise Sanders,78,29119,,Shawn Cook,European,Junior Executive,Low,Jade,246615.84,35332.0,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,3,3,2,10,7,3391019.42,3637635.26,15.305479452054794,7,246615.84,15.0,2.522868592428644,1458.815,3469996.0920161773,High Value
IND49616,Angela Alvarez,34,31338,,Patrick Graham,Australian,Biostatistician IV,Low,Jade,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,3,1,11,7,2141860.45,2271883.81,15.305479452054794,7,130023.36,15.0,2.821680029803646,109.595,2028825.9772827746,Medium Value
IND55475,Henry Grant,75,21778,2013-06-04,Anthony Simpson,European,Software Test Engineer I,Low,Jade,82703.81,8635.67,2,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3,4,3,1,12,7,4669402.11,4752105.92,12.983561643835616,7,82703.81,13.0,10.183221266090811,2840.6,5056785.748768912,VIP
IND61272,Larry Foster,47,34773,2020-10-12,Raymond Alexander,European,Internal Auditor,High,Gold,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,3,2,13,7,3185580.4400000004,3322836.5300000003,5.6219178082191785,7,137256.09,6.0,7.542762709015615,350.18666666666667,3426312.260864117,High Value
IND33884,Carol GoPKRalez,34,29287,,Carl Nguyen,European,Chemical Engineer,High,Platinum,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,3,1,14,7,3153568.3899999997,3378209.1399999997,15.305479452054794,7,224640.75,15.0,4.860892732539699,887.685,3199778.5106852013,High Value
IND53121,Timothy Stanley,79,29278,,Joshua Little,American,Accountant III,High,Jade,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,3,2,15,7,1543669.0199999998,1690961.9299999997,15.305479452054794,7,147292.91,15.0,0.7146707559056582,2048.81,1753493.8213037523,Medium Value
IND25680,Billy Wilson,73,99,,Dennis Morris,European,Registered Nurse,High,Platinum,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,3,2,1,7,5471915.16,5735164.13,15.305479452054794,7,263248.97,15.0,2.6361113355492503,2356.3866666666668,5754881.984427076,VIP
IND55454,Kathleen Riley,80,20746,,Benjamin Kim,European,Cost Accountant,Low,Jade,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,4,1,2,7,1465284.94,1658975.8699999999,15.305479452054794,7,193690.93,15.0,0.26232063462840194,1203.4733333333334,1777170.3420866923,Medium Value
IND96454,Bobby Jenkins,73,15809,2014-05-03,Nicholas Cunningham,European,Developer IV,Low,Gold,91243.05,37750.72,3,6660.85,122158.61,2137439.34,639548.78,1273038.67,12504.17,411062.27,2,3,4,2,3,7,4633502.56,4724745.609999999,12.07123287671233,7,91243.05,12.0,1.338811791015414,1665.2125,4778458.183947849,VIP
IND14292,Arthur Burns,51,30376,,Shawn Long,Asian,Accounting Assistant II,Low,Platinum,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,3,1,4,7,3511253.83,3674061.22,15.305479452054794,7,162807.39,15.0,4.356659444884873,405.98,3689494.6911244243,High Value
IND67206,Lawrence Richardson,49,38915,,Anthony Simpson,European,Junior Executive,Mid,Gold,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,1,2,5,7,2708153.31,2901883.25,15.305479452054794,7,193729.94,15.0,0.3409569478163891,687.3833333333333,2869195.2887526248,High Value
IND90177,Julia Roberts,81,5659,2006-08-11,Victor Martinez,European,Software Engineer I,Mid,Platinum,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,2,2,6,7,2058526.78,2190023.87,19.802739726027397,7,131497.09,20.0,0.435138639656287,1563.93,2170567.42407361,Medium Value
IND60970,Philip Fisher,27,28045,,Carl Nguyen,Asian,Accountant I,High,Gold,319205.91,49416.0,1,9.55,0.0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,3,1,7,6,1817357.26,2136563.17,15.305479452054794,6,319205.91,15.0,0.0,4.775,2156487.556593196,Medium Value
IND24003,Jeffrey Taylor,56,16845,,Anthony Simpson,European,Automation Specialist IV,Mid,Silver,44088.51,32418.88,2,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1,2,4,2,8,7,2882110.17,2926198.6799999997,15.305479452054794,7,44088.51,15.0,33.6984314409482,931.84,3144945.6581800072,High Value
IND87800,Mark Mccoy,33,20816,,Patrick Graham,European,Biostatistician I,High,Silver,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,1,1,9,7,5797385.4,6218069.0600000005,15.305479452054794,7,420683.66,15.0,1.9503442317102793,505.78,6068207.043210704,VIP
IND75987,Timothy Cook,79,30025,2006-11-12,Chris Armstrong,European,Nurse,Low,Jade,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,1,2,10,7,1029972.3999999999,1062034.92,19.54794520547945,7,32062.52,20.0,7.2209361292833725,806.41,1010238.5510877888,Low Value
IND70083,Larry Green,56,12219,,Benjamin Kim,European,Human Resources Manager,Mid,Jade,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,1,1,11,7,1389472.4700000002,1481960.12,15.305479452054794,7,92487.65,15.0,6.06190327137438,1099.59,1470471.8709094415,Low Value
IND31444,Edward Gordon,55,33457,,Victor Martinez,European,Analyst Programmer,Mid,Gold,130572.51,49441.92,1,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0,2,2,1,12,7,1883080.7899999998,2013653.2999999998,15.305479452054794,7,130572.51,15.0,0.925014729250979,1612.615,1960820.4915986687,Medium Value
IND70450,Edward Evans,77,31049,,Gregory Simmons,Australian,Database Administrator III,High,Gold,54753.75,5311.0,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,2,2,13,7,515044.29,569798.04,15.305479452054794,7,54753.75,15.0,1.4681120816002264,704.17,667646.5950700607,Low Value
IND47520,Joseph Morrison,49,3444,,George Lewis,Australian,Web Designer III,Mid,Silver,180214.79,9226.35,2,587.71,791256.59,1988033.0,460993.16,783688.37,36763.45,1991318.1,2,2,3,2,14,7,6061279.0200000005,6241493.8100000005,15.305479452054794,7,180214.79,15.0,4.390606339211453,195.90333333333334,6266152.039723023,VIP
IND69076,Kathy Wheeler,67,3711,1996-12-11,Anthony Torres,European,Senior Editor,High,Jade,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,3,2,15,7,1162548.64,1215375.42,29.473972602739725,7,52826.78,30.0,7.296926541300808,872.5366666666667,1220569.6535050403,Low Value
IND53190,Amy Sims,66,30998,2007-02-01,Joshua Bennett,European,Health Coach III,Low,Gold,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,3,1,16,7,815613.01,859235.89,19.326027397260273,7,43622.88,19.0,0.8950863609564303,114.95,836580.4884403016,Low Value
IND58356,Sharon Warren,64,3113,2018-09-01,Phillip Peters,African,Web Developer I,Mid,Silver,142841.26,5405.0,1,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0,2,3,1,17,7,2219414.58,2362255.84,7.736986301369863,7,142841.26,8.0,3.562946707788017,1715.695,2418462.175904776,Medium Value
IND33691,Nicholas Gilbert,49,30551,2009-07-04,Douglas Tucker,African,Systems Administrator III,High,Silver,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110.0,2,2,3,1,18,7,1684333.44,1774771.0999999999,16.904109589041095,7,90437.66,17.0,6.339834867080074,707.59,1770228.8680466372,Medium Value
IND20398,Melissa Miller,65,16593,,Jason Duncan,Australian,Biostatistician III,High,Jade,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,3,1,19,7,1062280.49,1094581.96,15.305479452054794,7,32301.47,15.0,9.617158068717346,875.71,1207850.1481948786,Low Value
IND54314,Kevin Gomez,32,24168,2007-01-01,Jerry Green,European,Project Manager,Mid,Jade,293419.07,16443.25,1,4496.63,2183384.72,1490773.71,634781.07,281227.25,399.2,1633759.29,2,4,3,2,20,7,6240768.49,6534187.5600000005,19.410958904109588,7,293419.07,19.0,7.441156700698763,2248.315,6453296.672118792,VIP
IND74305,Ronald Larson,29,25730,1999-11-12,Bobby Burton,Australian,Software Engineer III,High,Gold,55011.84,14206.2,1,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3,1,4,1,21,7,3220291.1399999997,3275302.9799999995,26.553424657534247,7,55011.84,27.0,8.724079324026901,1977.53,3369106.7384425844,High Value
IND37195,Christine Williams,31,10528,,Joshua Bennett,European,Engineer III,High,Jade,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,4,2,22,7,1114275.93,1192247.39,15.305479452054794,7,77971.46,15.0,6.132394950730039,428.105,1226352.5024571617,Low Value
IND52609,Angela Roberts,22,30762,2005-09-07,Nicholas Cunningham,European,Health Coach I,High,Jade,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,1,1,1,7,960952.03,1045063.54,20.72876712328767,7,84111.51,21.0,3.621437286795983,78.335,1052989.6123102081,Low Value
IND26283,Joshua Hughes,58,95,,Shawn Cook,European,Human Resources Assistant I,High,Jade,98369.29,3050.25,1,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3,2,2,2,2,7,1363205.43,1461574.72,15.305479452054794,7,98369.29,15.0,2.167270931091085,720.945,1459114.3326700088,Low Value
IND61913,Joshua Stephens,75,10119,,Samuel Fowler,American,Software Test Engineer II,High,Silver,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,3,1,3,7,3272521.6000000006,3516012.3300000005,15.305479452054794,7,243490.73,15.0,4.294063827136963,2789.17,3499110.3941428517,High Value
IND35876,Evelyn Ramirez,18,28105,,Frank Brown,American,Web Designer II,Mid,Jade,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,4,1,4,7,3166798.46,3239229.8,15.305479452054794,7,72431.34,15.0,16.715642211752378,2651.75,3257102.6457420266,High Value
IND19011,Lillian Burns,47,33271,2003-07-11,Paul Larson,European,Sales Associate,Mid,Silver,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,1,2,8,7,4655188.36,5111192.350000001,22.89041095890411,7,456003.99,23.0,2.738900664222995,2656.4866666666667,5100520.28842572,VIP
IND86703,Lillian Bell,41,11172,,Stephen Payne,European,Biostatistician I,High,Platinum,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,1,2,9,7,1279282.77,1350704.81,15.305479452054794,7,71422.04,15.0,4.41279760704669,2126.67,1328457.7962798786,Low Value
IND23640,Phillip Perez,36,18659,2018-02-04,Benjamin Kim,European,Accounting Assistant III,Low,Jade,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,1,2,10,7,3550851.87,3589929.25,8.30958904109589,7,39077.38,8.0,30.378406423193592,435.1266666666667,3636036.372389933,High Value
IND93407,Karen Morrison,84,18123,,Carl Nguyen,European,Dental Hygienist,High,Jade,274099.12,26051.76,2,2461.94,563101.95,0.0,0.0,0.0,4870.24,520918.49,3,2,2,2,11,4,1114942.44,1389041.56,15.305479452054794,4,274099.12,15.0,2.0543659375267693,820.6466666666666,1490427.7170313043,Low Value
IND40136,John Cruz,26,27140,,Victor Martinez,European,Developer IV,Mid,Silver,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,2,1,12,7,2131862.87,2392689.62,15.305479452054794,7,260826.75,15.0,3.083874242675482,67.65,2396153.0342601305,Medium Value
IND76215,Joseph Thomas,74,18521,1999-07-01,Jeremy Vasquez,American,Engineer IV,Low,Platinum,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,3,2,13,7,2862246.63,3196578.44,26.92054794520548,7,334331.81,27.0,0.4912867809773142,343.09999999999997,3134683.5196735533,High Value
IND93216,Anthony Green,47,40585,2012-11-02,Dennis Ruiz,Asian,Software Consultant,High,Jade,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,3,1,14,7,1194007.5899999999,1255405.8499999999,13.56986301369863,7,61398.26,14.0,5.863325877217412,275.375,1199756.343713981,Low Value
IND54572,Terry Hanson,82,4749,2007-11-04,Phillip Peters,European,Software Test Engineer II,High,Gold,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,3,2,15,7,1715611.1099999999,1778857.41,18.56986301369863,7,63246.3,19.0,7.0936261310759505,1457.09,1783781.5885100188,Medium Value
IND18649,Norma Perez,25,7639,,George Lewis,European,Accountant II,Mid,Platinum,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,3,1,1,7,918600.51,1076692.37,15.305479452054794,7,158091.86,15.0,1.313549264653698,270.0075,983020.9955228885,Low Value
IND51790,Ann Bradley,44,6517,2016-10-09,Dennis Morris,European,Software Engineer II,Mid,Jade,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,3,1,2,7,2105431.23,2237161.08,9.632876712328768,7,131729.85,10.0,6.556718490771144,2071.78,2221504.365943913,Medium Value
IND17740,Daniel Morrison,38,38743,,Frank Brown,Asian,Health Coach IV,High,Gold,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,3,2,3,7,3097507.44,3214434.38,15.305479452054794,7,116926.94,15.0,8.972097857877252,1276.0666666666666,3553571.495641714,High Value
IND49489,Keith Weaver,74,4567,1995-09-08,Nicholas Cunningham,American,Associate Professor,High,Gold,148224.72,27518.0,2,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3,1,3,1,4,7,957028.31,1105253.03,30.734246575342464,7,148224.72,31.0,2.03776321680205,9.27,1107641.0403071076,Low Value
IND50658,Patrick Richardson,35,36151,,Roger Alexander,Asian,Computer Systems Analyst I,Mid,Jade,348248.56,65026.0,1,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0,3,4,2,5,7,4883945.6,5232194.159999999,15.305479452054794,7,348248.56,15.0,3.9317081979945643,1717.68,5136194.025554623,VIP
IND14798,Beverly Griffin,74,21413,,Shawn Wallace,American,Health Coach I,High,Silver,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,4,1,6,7,426772.05000000005,446409.8300000001,15.305479452054794,7,19637.78,15.0,1.2389399952542879,26.046666666666667,782245.2927182518,Low Value
IND60926,Virginia Greene,62,7197,,Phillip Peters,American,Electrical Engineer,Mid,Jade,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,1,1,7,7,1959712.82,2110017.31,15.305479452054794,7,150304.49,15.0,3.485342351766393,383.53,2126488.166158226,Medium Value
IND57710,Antonio Ruiz,23,27256,2003-05-11,Ernest Rivera,European,Statistician I,Low,Jade,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,2,1,8,7,1909621.61,1961730.74,23.057534246575344,7,52109.13,23.0,3.9445698945675245,104.84,2011160.31090439,Medium Value
IND71795,John Chapman,68,21290,,Keith Griffin,European,Programmer Analyst III,Mid,Platinum,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,3,1,9,7,2401480.4899999998,2557572.2399999998,15.305479452054794,7,156091.75,15.0,4.533060632220266,95.7175,2511717.5702219363,High Value
IND98220,Ruth Bishop,79,3957,,Joe Price,American,Human Resources Assistant II,High,Jade,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,4,1,10,7,3954589.42,4292972.55,15.305479452054794,7,338383.13,15.0,4.626439543722101,1752.93,4138162.715036873,VIP
IND91662,Alice Chavez,29,39668,,Jerry Green,European,Assistant Professor,High,Silver,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,1,2,11,7,4409893.4399999995,4608447.029999999,15.305479452054794,7,198553.59,15.0,2.0876806222409665,2790.655,4565946.56577876,VIP
IND18901,Heather Palmer,52,374,2002-05-11,Stephen Payne,European,Accounting Assistant III,Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,1,1,12,7,964857.03,1154976.96,24.057534246575344,7,190119.93,24.0,2.776570207183396,1762.605,1225379.7446463306,Low Value
